Model,Const,Mem,Prop,Param Region,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,#States (after),Time (MC),% Known,# Regions
network2_packets_sent,K=2 T=2 ,1,1.6313653422000003_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p12_0<=99/100,1/100<=p16_0<=99/100,1/100<=p17_0<=99/100,1/100<=p18_0<=99/100",0.1,false,false,roundrobin,delta,	44,0.115,100.0,456
network2_packets_sent,K=2 T=2 ,1,1.6313653422000003_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p12_0<=99/100,1/100<=p16_0<=99/100,1/100<=p17_0<=99/100,1/100<=p18_0<=99/100",0.1,false,false,estimate,delta,	44,0.028,100.0,50
network2_priorities_dropped_packets,K=2 T=2 ,1,4.3835161722_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p25_0<=99/100,1/100<=p26_0<=99/100,1/100<=p27_0<=99/100,1/100<=p28_0<=99/100,1/100<=p29_0<=99/100,1/100<=p30_0<=99/100,1/100<=p31_0<=99/100,1/100<=p32_0<=99/100,1/100<=p33_0<=99/100,1/100<=p34_0<=99/100,1/100<=p35_0<=99/100,1/100<=p36_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p56_0<=99/100,1/100<=p57_0<=99/100,1/100<=p58_0<=99/100,1/100<=p59_0<=99/100,1/100<=p60_0<=99/100,1/100<=p61_0<=99/100,1/100<=p62_0<=99/100,1/100<=p63_0<=99/100,1/100<=p64_0<=99/100,1/100<=p80_0<=99/100,1/100<=p81_0<=99/100,1/100<=p82_0<=99/100,1/100<=p83_0<=99/100,1/100<=p84_0<=99/100,1/100<=p85_0<=99/100,1/100<=p86_0<=99/100,1/100<=p87_0<=99/100,1/100<=p88_0<=99/100,1/100<=p89_0<=99/100,1/100<=p90_0<=99/100,1/100<=p91_0<=99/100,1/100<=p92_0<=99/100,1/100<=p93_0<=99/100,1/100<=p94_0<=99/100,1/100<=p95_0<=99/100,1/100<=p96_0<=99/100,1/100<=p97_0<=99/100,1/100<=p98_0<=99/100,1/100<=p99_0<=99/100,1/100<=p100_0<=99/100,1/100<=p101_0<=99/100,1/100<=p102_0<=99/100,1/100<=p103_0<=99/100,1/100<=p104_0<=99/100,1/100<=p105_0<=99/100,1/100<=p106_0<=99/100",0.1,false,false,roundrobin,delta,	260,0.006,100.0,1
network2_priorities_dropped_packets,K=2 T=2 ,1,4.3835161722_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p25_0<=99/100,1/100<=p26_0<=99/100,1/100<=p27_0<=99/100,1/100<=p28_0<=99/100,1/100<=p29_0<=99/100,1/100<=p30_0<=99/100,1/100<=p31_0<=99/100,1/100<=p32_0<=99/100,1/100<=p33_0<=99/100,1/100<=p34_0<=99/100,1/100<=p35_0<=99/100,1/100<=p36_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p56_0<=99/100,1/100<=p57_0<=99/100,1/100<=p58_0<=99/100,1/100<=p59_0<=99/100,1/100<=p60_0<=99/100,1/100<=p61_0<=99/100,1/100<=p62_0<=99/100,1/100<=p63_0<=99/100,1/100<=p64_0<=99/100,1/100<=p80_0<=99/100,1/100<=p81_0<=99/100,1/100<=p82_0<=99/100,1/100<=p83_0<=99/100,1/100<=p84_0<=99/100,1/100<=p85_0<=99/100,1/100<=p86_0<=99/100,1/100<=p87_0<=99/100,1/100<=p88_0<=99/100,1/100<=p89_0<=99/100,1/100<=p90_0<=99/100,1/100<=p91_0<=99/100,1/100<=p92_0<=99/100,1/100<=p93_0<=99/100,1/100<=p94_0<=99/100,1/100<=p95_0<=99/100,1/100<=p96_0<=99/100,1/100<=p97_0<=99/100,1/100<=p98_0<=99/100,1/100<=p99_0<=99/100,1/100<=p100_0<=99/100,1/100<=p101_0<=99/100,1/100<=p102_0<=99/100,1/100<=p103_0<=99/100,1/100<=p104_0<=99/100,1/100<=p105_0<=99/100,1/100<=p106_0<=99/100",0.1,false,false,estimate,delta,	260,0.007,100.0,1
network2_priorities_dropped_packets,K=2 T=2 ,1,4.3835161722_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p25_0<=99/100,1/100<=p26_0<=99/100,1/100<=p27_0<=99/100,1/100<=p28_0<=99/100,1/100<=p29_0<=99/100,1/100<=p30_0<=99/100,1/100<=p31_0<=99/100,1/100<=p32_0<=99/100,1/100<=p33_0<=99/100,1/100<=p34_0<=99/100,1/100<=p35_0<=99/100,1/100<=p36_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p56_0<=99/100,1/100<=p57_0<=99/100,1/100<=p58_0<=99/100,1/100<=p59_0<=99/100,1/100<=p60_0<=99/100,1/100<=p61_0<=99/100,1/100<=p62_0<=99/100,1/100<=p63_0<=99/100,1/100<=p64_0<=99/100,1/100<=p80_0<=99/100,1/100<=p81_0<=99/100,1/100<=p82_0<=99/100,1/100<=p83_0<=99/100,1/100<=p84_0<=99/100,1/100<=p85_0<=99/100,1/100<=p86_0<=99/100,1/100<=p87_0<=99/100,1/100<=p88_0<=99/100,1/100<=p89_0<=99/100,1/100<=p90_0<=99/100,1/100<=p91_0<=99/100,1/100<=p92_0<=99/100,1/100<=p93_0<=99/100,1/100<=p94_0<=99/100,1/100<=p95_0<=99/100,1/100<=p96_0<=99/100,1/100<=p97_0<=99/100,1/100<=p98_0<=99/100,1/100<=p99_0<=99/100,1/100<=p100_0<=99/100,1/100<=p101_0<=99/100,1/100<=p102_0<=99/100,1/100<=p103_0<=99/100,1/100<=p104_0<=99/100,1/100<=p105_0<=99/100,1/100<=p106_0<=99/100",0.1,true,false,estimate,minmaxdelta,	260,0.028,100.0,1
newgrid,N=2 ,1,5.2555510629e-08_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,true,false,estimate,minmaxdelta,	32,ERR,ERR,ERR
newgrid,N=2 ,1,5.2555510629e-08_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,false,false,roundrobin,delta,	32,ERR,ERR,ERR
newgrid,N=2 ,1,5.2555510629e-08_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,false,false,estimate,delta,	32,ERR,ERR,ERR
newgrid,N=5 ,1,3.0551133501e-07_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,true,false,estimate,minmaxdelta,	105,ERR,ERR,ERR
newgrid,N=5 ,1,3.0551133501e-07_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,false,false,estimate,delta,	105,ERR,ERR,ERR
newgrid,N=5 ,1,3.0551133501e-07_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,false,false,roundrobin,delta,	105,ERR,ERR,ERR
newgrid,N=10 ,1,4.9441450095e-06_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,false,false,roundrobin,delta,	360,ERR,ERR,ERR
newgrid,N=10 ,1,4.9441450095e-06_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,false,false,estimate,delta,	360,ERR,ERR,ERR
newgrid,N=10 ,1,4.9441450095e-06_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,true,false,estimate,minmaxdelta,	360,ERR,ERR,ERR
refuel,N=4 ,1,3.7714903029e-10_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p9_0<=99/100,1/100<=p19_0<=99/100,1/100<=p21_0<=99/100,1/100<=p22_0<=99/100,1/100<=p23_0<=99/100,1/100<=p24_0<=99/100,1/100<=p25_0<=99/100,1/100<=p33_0<=99/100,1/100<=p35_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p43_0<=99/100,1/100<=p46_0<=99/100,1/100<=p47_0<=99/100,1/100<=p48_0<=99/100,1/100<=p49_0<=99/100,1/100<=p51_0<=99/100,1/100<=p53_0<=99/100,1/100<=p55_0<=99/100,1/100<=p57_0<=99/100",0.1,false,false,estimate,delta,	84,ERR,ERR,ERR
refuel,N=4 ,1,3.7714903029e-10_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p9_0<=99/100,1/100<=p19_0<=99/100,1/100<=p21_0<=99/100,1/100<=p22_0<=99/100,1/100<=p23_0<=99/100,1/100<=p24_0<=99/100,1/100<=p25_0<=99/100,1/100<=p33_0<=99/100,1/100<=p35_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p43_0<=99/100,1/100<=p46_0<=99/100,1/100<=p47_0<=99/100,1/100<=p48_0<=99/100,1/100<=p49_0<=99/100,1/100<=p51_0<=99/100,1/100<=p53_0<=99/100,1/100<=p55_0<=99/100,1/100<=p57_0<=99/100",0.1,false,false,roundrobin,delta,	84,ERR,ERR,ERR
refuel,N=4 ,1,3.7714903029e-10_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p9_0<=99/100,1/100<=p19_0<=99/100,1/100<=p21_0<=99/100,1/100<=p22_0<=99/100,1/100<=p23_0<=99/100,1/100<=p24_0<=99/100,1/100<=p25_0<=99/100,1/100<=p33_0<=99/100,1/100<=p35_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p43_0<=99/100,1/100<=p46_0<=99/100,1/100<=p47_0<=99/100,1/100<=p48_0<=99/100,1/100<=p49_0<=99/100,1/100<=p51_0<=99/100,1/100<=p53_0<=99/100,1/100<=p55_0<=99/100,1/100<=p57_0<=99/100",0.1,true,false,estimate,minmaxdelta,	84,ERR,ERR,ERR
